CCG_Name,CCG_Name_New
NHS Barnsley CCG,NHS BARNSLEY CCG
NHS Basildon And Brentwood CCG,NHS BASILDON AND BRENTWOOD CCG
NHS Bassetlaw CCG,NHS BASSETLAW CCG
NHS Blackburn With Darwen CCG,NHS BLACKBURN WITH DARWEN CCG
NHS Blackpool CCG,NHS BLACKPOOL CCG
NHS Bolton CCG,NHS BOLTON CCG
NHS Brighton And Hove CCG,NHS BRIGHTON AND HOVE CCG
NHS Bury CCG,NHS BURY CCG
NHS Calderdale CCG,NHS CALDERDALE CCG
NHS Cambridgeshire and Peterborough CCG,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG
NHS Cannock Chase CCG,NHS CANNOCK CHASE CCG
NHS Castle Point And Rochford CCG,NHS CASTLE POINT AND ROCHFORD CCG
NHS Chorley And South Ribble CCG,NHS CHORLEY AND SOUTH RIBBLE CCG
NHS Doncaster CCG,NHS DONCASTER CCG
NHS Dorset CCG,NHS DORSET CCG
NHS East And North Hertfordshire CCG,NHS EAST AND NORTH HERTFORDSHIRE CCG
NHS East Lancashire CCG,NHS EAST LANCASHIRE CCG
NHS East Leicestershire And Rutland CCG,NHS EAST LEICESTERSHIRE AND RUTLAND CCG
NHS East Riding Of Yorkshire CCG,NHS EAST RIDING OF YORKSHIRE CCG
NHS East Staffordshire CCG,NHS EAST STAFFORDSHIRE CCG
NHS Gloucestershire CCG,NHS GLOUCESTERSHIRE CCG
NHS Halton CCG,NHS HALTON CCG
NHS Herts Valleys CCG,NHS HERTS VALLEYS CCG
"NHS Heywood, Middleton And Rochdale CCG","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG"
NHS Hull CCG,NHS HULL CCG
NHS Ipswich And East Suffolk CCG,NHS IPSWICH AND EAST SUFFOLK CCG
NHS Kernow CCG,NHS KERNOW CCG
NHS Knowsley CCG,NHS KNOWSLEY CCG
NHS Leicester City CCG,NHS LEICESTER CITY CCG
NHS Liverpool CCG,NHS LIVERPOOL CCG
NHS Mid Essex CCG,NHS MID ESSEX CCG
NHS North East Essex CCG,NHS NORTH EAST ESSEX CCG
