Date,Total_Presc,Cost
01/11/2017,2186853,28810731
01/12/2017,2199867,25956794
01/01/2018,2228965,26858847
01/02/2018,2017231,22065335
01/03/2018,2230951,24017321
01/04/2018,2173231,26393140
01/05/2018,2271866,29697523
01/06/2018,2240437,29896810
01/07/2018,2287950,25116743
01/08/2018,2346276,26227320
01/09/2018,2201926,24732995
01/10/2018,2409179,25825333
01/11/2018,2353398,23818201
01/12/2018,2351590,23956721
01/01/2019,2413486,24208941
01/02/2019,2142698,21630211
01/03/2019,2321309,23740878
01/04/2019,2312167,22895512
01/05/2019,2459220,24671272
01/06/2019,2285310,23065274
01/07/2019,2367434,22723345
01/08/2019,2498591,24927284
01/09/2019,2350279,23869552
01/10/2019,2509008,25086432
01/11/2019,2396857,24207569
01/12/2019,2465581,24974994
01/01/2020,2511887,24436026
01/02/2020,2282979,22157879
01/03/2020,2561917,26531440
01/04/2020,2489850,24783810
01/05/2020,2365389,23308513
01/06/2020,2454834,24608228
01/07/2020,2553843,25112357
01/08/2020,2323510,23131419
01/09/2020,2492952,25250728
01/10/2020,2536760,25464071
01/11/2020,2437574,24566991
01/12/2020,2638823,26650076
01/01/2021,2452919,25992466
01/02/2021,2320592,23936921
01/03/2021,2598078,26965939
01/04/2021,2529939,26567687
01/05/2021,2417476,25438542
01/06/2021,2569204,26795238
01/07/2021,2587470,25733956
01/08/2021,2472476,24255877
01/09/2021,2572699,25372752
01/10/2021,2468658,24176007
01/11/2021,2556628,25214829
01/12/2021,2692059,26596082
01/01/2022,2526853,23615096
01/02/2022,2375408,22070776
01/03/2022,2680654,25061008
01/04/2022,2526971,23272204
01/05/2022,2623427,24719558
01/06/2022,2573481,24454681
01/07/2022,2558274,24301469
01/08/2022,2636343,24731601
01/09/2022,2613107,25222091
01/10/2022,2581851,24855498
