Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,,,2009/10,0.779102193822615,0.776466806818938,0.781746455056796,,,332001,42613280.084742,,,Not compared,Not compared,20090000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),E92000001,England,E92000001,England,England,Persons,18+ yrs,,,2009/10,0.779102193822615,0.776466806818938,0.781746455056796,,,332001,42613280.084742,,,Similar,Not compared,20090000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,,,2010/11,0.772192341243577,0.769597763023063,0.7747955983792,,,336509,43578391.2927793,,,Not compared,Not compared,20100000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),E92000001,England,E92000001,England,England,Persons,18+ yrs,,,2010/11,0.772192341243577,0.769597763023063,0.7747955983792,,,336509,43578391.2927793,,,Similar,Not compared,20100000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,,,2011/12,0.778294245855263,0.775697717058669,0.780899397730312,,,341322,43855136,,,Not compared,Not compared,20110000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),E92000001,England,E92000001,England,England,Persons,18+ yrs,,,2011/12,0.778294245855263,0.775697717058669,0.780899397730312,,,341322,43855136,,,Similar,Not compared,20110000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,,,2012/13,0.780180468,0.777592036096288,0.782777448243942,,,345140,44238482.5251,,,Not compared,Not compared,20120000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Most deprived decile,2012/13,0.972858156016677,0.96003708278608,0.98584874735836,0.952719890047625,0.993417828323981,21617,2222009.43337,Aggregated from all known lower geography values,,Higher,Not compared,20120000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Second most deprived decile,2012/13,0.893049887678063,0.883182242513555,0.903026777911848,0.877541112807494,0.90883023593093,30842,3453558.465831,Aggregated from all known lower geography values,,Higher,Not compared,20120000,,,1y
224,Epilepsy: QOF prevalence (18+ yrs),,,E92000001,England,England,Persons,18+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Third more deprived decile,2012/13,0.919596530781562,0.907878330091971,0.931464559319527,0.901188277944486,0.938377241897826,23144,2516755.90602,Aggregated from all known lower geography values,,Higher,Not compared,20120000,,,1y
