date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2017-11-01,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",17183,264267.07,0,0
2017-11-01,QNQ,"NHS FRIMLEY INTEGRATED CARE BOARD",19618,289438.74,0,0
2017-11-01,QSL,"NHS SOMERSET INTEGRATED CARE BOARD",20054,303995.93,0,0
2017-11-01,QVV,"NHS DORSET INTEGRATED CARE BOARD",25357,367275.7,0,0
2017-11-01,QT6,"NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD",26302,383530.81,0,0
2017-11-01,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",26905,401303.14,0,0
2017-11-01,QXU,"NHS SURREY HEARTLANDS INTEGRATED CARE BOARD",28242,483916.06,0,0
2017-11-01,QR1,"NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD",28284,358953.97,0,0
2017-11-01,QGH,"NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",29409,411039.94,0,0
2017-11-01,QPM,"NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD",30560,412565.18,0,0
2017-11-01,QWU,"NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD",32833,460960.75,0,0
2017-11-01,QUE,"NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD",33145,430793.95,0,0
2017-11-01,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",35427,467310.93,0,0
2017-11-01,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",35488,513408.25,0,0
2017-11-01,QMJ,"NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD",39945,587326.43,0,0
2017-11-01,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",40134,486772.01,0,0
2017-11-01,QJ2,"NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",41786,585857.32,0,0
2017-11-01,QH8,"NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD",43048,633012.22,0,0
2017-11-01,QHL,"NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",43593,669567.93,0,0
2017-11-01,QJM,"NHS LINCOLNSHIRE INTEGRATED CARE BOARD",44368,532292.02,0,0
2017-11-01,QT1,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD",44378,637200.94,0,0
2017-11-01,QWE,"NHS SOUTH WEST LONDON INTEGRATED CARE BOARD",47236,587681,0,0
2017-11-01,QM7,"NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD",47409,685705.91,0,0
2017-11-01,QUA,"NHS BLACK COUNTRY INTEGRATED CARE BOARD",48107,740097.59,0,0
2017-11-01,QJG,"NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD",48218,642413.97,0,0
2017-11-01,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",49546,771199.35,0,0
2017-11-01,QNC,"NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",51132,758882.62,0,0
2017-11-01,QJK,"NHS DEVON INTEGRATED CARE BOARD",54673,699313.22,0,0
2017-11-01,QKK,"NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",55281,747917.73,0,0
2017-11-01,QMF,"NHS NORTH EAST LONDON INTEGRATED CARE BOARD",56249,747914.2,0,0
2017-11-01,QMM,"NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD",58071,667871.65,0,0
2017-11-01,QRL,"NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD",63535,931120.73,0,0
2017-11-01,QRV,"NHS NORTH WEST LONDON INTEGRATED CARE BOARD",65429,840934.59,0,0
2017-11-01,QNX,"NHS SUSSEX INTEGRATED CARE BOARD",67173,963380.24,0,0
2017-11-01,QF7,"NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD",69193,864443.83,0,0
2017-11-01,QOQ,"NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD",73319,950687.86,0,0
2017-11-01,QKS,"NHS KENT AND MEDWAY INTEGRATED CARE BOARD",78079,1056565.66,0,0
2017-11-01,QE1,"NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD",84799,1083225.71,0,0
2017-11-01,QWO,"NHS WEST YORKSHIRE INTEGRATED CARE BOARD",103484,1370397.98,0,0
2017-11-01,QYG,"NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD",125021,1531288.12,0,0
2017-11-01,QOP,"NHS GREATER MANCHESTER INTEGRATED CARE BOARD",147406,1804092.23,0,0
2017-11-01,QHM,"NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD",203104,1959340.47,0,0
2017-12-01,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",17427,240146.43,0,0
2017-12-01,QNQ,"NHS FRIMLEY INTEGRATED CARE BOARD",19759,263036.86,0,0
2017-12-01,QSL,"NHS SOMERSET INTEGRATED CARE BOARD",20554,262743.28,0,0
2017-12-01,QVV,"NHS DORSET INTEGRATED CARE BOARD",25330,328798.98,0,0
2017-12-01,QT6,"NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD",26656,367119.37,0,0
2017-12-01,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",26932,359046.54,0,0
2017-12-01,QXU,"NHS SURREY HEARTLANDS INTEGRATED CARE BOARD",27547,438308.98,0,0
2017-12-01,QR1,"NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD",28713,328640.77,0,0
2017-12-01,QGH,"NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",29488,383176.82,0,0
2017-12-01,QPM,"NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD",30392,366772.46,0,0
2017-12-01,QWU,"NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD",33590,435615.25,0,0
2017-12-01,QUE,"NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD",34209,388477.25,0,0
2017-12-01,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",35288,405300.39,0,0
2017-12-01,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",35489,466452.26,0,0
2017-12-01,QMJ,"NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD",39760,540438.11,0,0
2017-12-01,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",40150,442802.61,0,0
2017-12-01,QJ2,"NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",42252,534361.34,0,0
2017-12-01,QHL,"NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",43204,614206.19,0,0
2017-12-01,QT1,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD",44345,565967.9,0,0
2017-12-01,QH8,"NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD",44838,624706.45,0,0
2017-12-01,QJM,"NHS LINCOLNSHIRE INTEGRATED CARE BOARD",45033,476478.08,0,0
2017-12-01,QWE,"NHS SOUTH WEST LONDON INTEGRATED CARE BOARD",47489,529403.5,0,0
2017-12-01,QM7,"NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD",47982,628714.46,0,0
2017-12-01,QJG,"NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD",48419,585969.38,0,0
2017-12-01,QUA,"NHS BLACK COUNTRY INTEGRATED CARE BOARD",48528,669865.61,0,0
2017-12-01,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",49631,694704.91,0,0
2017-12-01,QNC,"NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",51282,675358.96,0,0
2017-12-01,QJK,"NHS DEVON INTEGRATED CARE BOARD",54697,639111.8,0,0
2017-12-01,QKK,"NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",54867,661117.99,0,0
2017-12-01,QMF,"NHS NORTH EAST LONDON INTEGRATED CARE BOARD",55487,642268.47,0,0
2017-12-01,QMM,"NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD",57675,576539.87,0,0
2017-12-01,QRL,"NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD",64080,838459.98,0,0
2017-12-01,QRV,"NHS NORTH WEST LONDON INTEGRATED CARE BOARD",66252,764190.02,0,0
2017-12-01,QNX,"NHS SUSSEX INTEGRATED CARE BOARD",70076,877836.03,0,0
2017-12-01,QF7,"NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD",70986,798670.17,0,0
2017-12-01,QOQ,"NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD",74570,866962.08,0,0
2017-12-01,QKS,"NHS KENT AND MEDWAY INTEGRATED CARE BOARD",78597,963088.88,0,0
2017-12-01,QE1,"NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD",86377,971813.45,0,0
2017-12-01,QWO,"NHS WEST YORKSHIRE INTEGRATED CARE BOARD",101732,1189669.36,0,0
