date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2017-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",230236,3067162.3,0,0
2017-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",256797,3461101.55,0,0
2017-11-01,Y56,"LONDON COMMISSIONING REGION",264140,3511773.95,0,0
2017-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",306193,4495620.78,0,0
2017-11-01,Y62,"NORTH WEST COMMISSIONING REGION",357226,4418606.06,0,0
2017-11-01,Y60,"MIDLANDS COMMISSIONING REGION",418850,5986164.59,0,0
2017-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",449101,5144870.73,0,0
2017-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",231389,2774518.82,0,0
2017-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",260056,3163474.11,0,0
2017-12-01,Y56,"LONDON COMMISSIONING REGION",263855,3137418.09,0,0
2017-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",309690,4075435.64,0,0
2017-12-01,Y62,"NORTH WEST COMMISSIONING REGION",358157,3919424.85,0,0
2017-12-01,Y60,"MIDLANDS COMMISSIONING REGION",421042,5428417.61,0,0
2017-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",449212,4564319.62,0,0
2018-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",230526,2800626.8,0,0
2018-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",260619,3193814.84,0,0
2018-01-01,Y56,"LONDON COMMISSIONING REGION",270753,3245603.15,0,0
2018-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",310083,4188741.28,0,0
2018-01-01,Y62,"NORTH WEST COMMISSIONING REGION",364163,4135337.94,0,0
2018-01-01,Y60,"MIDLANDS COMMISSIONING REGION",428569,5601178.89,0,0
2018-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",457204,4825233.14,0,0
2018-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",210327,2317180.81,0,0
2018-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",235281,2607761.52,0,0
2018-02-01,Y56,"LONDON COMMISSIONING REGION",245609,2697010.35,0,0
2018-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",280887,3474606.38,0,0
2018-02-01,Y62,"NORTH WEST COMMISSIONING REGION",328548,3377342.95,0,0
2018-02-01,Y60,"MIDLANDS COMMISSIONING REGION",387757,4618256.91,0,0
2018-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",411012,3881975.07,0,0
2018-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",229732,2481013.37,0,0
2018-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",262326,2871182.92,0,0
2018-03-01,Y56,"LONDON COMMISSIONING REGION",266451,2901776.89,0,0
2018-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",310011,3759187.36,0,0
2018-03-01,Y62,"NORTH WEST COMMISSIONING REGION",366041,3679459.88,0,0
